#BLTrackFile VirtualDetector/Det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
0.000584109 -0.000563828 21 0.292089 -0.281948 4000.48 0.403613 11 1 1 0 1
0.00408851 -0.00293981 21 2.04408 -1.46978 3999.65 0.403613 11 2 1 0 1
0.00230642 -0.0011504 21 1.15296 -0.575074 3999.12 0.403613 11 3 1 0 1
0.000311624 -0.000163627 21 0.155782 -0.081798 3999.24 0.403613 11 4 1 0 1
0.00213543 -0.00234084 21 1.06774 -1.17044 4000.08 0.403613 11 5 1 0 1
-0.000436816 0.000713575 21 -0.218429 0.356821 4000.38 0.403613 11 6 1 0 1
0.000783701 -0.00190328 21 0.426874 -1.00057 3997.02 0.403613 11 7 1 0 1
0.732701 10.742 21 0.102856 1.37089 1.05776 0.42309 11 7 1001 1 1
0.685006 -0.17618 21 0.0573207 -0.0164338 0.67717 0.410773 11 7 1002 1001 1
-0.00185068 0.0045016 21 -0.925234 2.25055 3999.55 0.403613 11 8 1 0 1
-0.0023596 -0.000278225 21 -1.43777 -0.0393606 3998.44 0.403613 11 9 1 0 1
-8.51568e-05 0.00176256 21 -0.0425801 0.881314 4000.16 0.403613 11 10 1 0 1
